NAMESPACE            NAME                                                              READY   STATUS      RESTARTS          AGE
ilens-core           pod/keyclock-url-update-job-2znhs                                 0/1     Completed   0                 192d
ilens-core           pod/freshdump-restore-job-j8twc                                   0/1     Completed   0                 192d
ilens-core           pod/standard-project-files-restore-job-8ll44                      0/1     Completed   0                 192d
ilens-core           pod/create-smtp-gateway-job-lmvbl                                 0/1     Completed   0                 192d
ilens-core           pod/kairosdb-data-restore-job-v8777                               0/1     Completed   0                 192d
ilens-core           pod/keyclock-data-restore-job-cn77f                               0/1     Completed   0                 192d
ilens-core           pod/dp-volumes-files-restore-job-x9n8m                            0/1     Completed   0                 44d
ilens-infra          pod/infra-keycloak-66b68489f-qqks6                                0/1     Error       2                 192d
kubeflow             pod/cache-deployer-deployment-775b4bf8b8-w9vnf                    0/1     Error       2                 192d
ilens-core           pod/agent-bundle-restore-job-dg9vb                                0/1     Completed   0                 44d
ilens-core           pod/db-upgrade-v7-10-march-release-cxvt7                          0/1     Completed   0                 44d
ilens-core           pod/infra-kairosdb-incremental-backup-28929600-jws5s              0/1     Error       0                 45d
ilens-core           pod/core-volumes-permission-job-626x7                             0/1     Completed   0                 44d
ilens-core           pod/db-upgrade-v7-11-0-release-2cqh7                              0/1     Completed   0                 44d
ilens-core           pod/infra-kairosdb-incremental-backup-28929600-tztth              0/1     Error       0                 45d
ilens-core           pod/infra-kairosdb-incremental-backup-28929600-7t4v5              0/1     Error       0                 45d
ilens-core           pod/infra-kairosdb-incremental-backup-28929600-kvxwx              0/1     Error       0                 45d
ilens-core           pod/db-upgrade-v7-10-01-release-2phj6                             0/1     Completed   0                 44d
ilens-core           pod/infra-mongo-backup-28970100-8pqqk                             0/1     Completed   0                 18d
ilens-core           pod/restart-infra-pods-28962550-8s9ph                             0/1     Completed   0                 20d
ilens-core           pod/infra-kairosdb-incremental-backup-28969920-97sjw              0/1     Completed   0                 18d
ilens-core           pod/restart-core-pods-28970040-jmnwb                              0/1     Completed   0                 18d
ilens-core           pod/infra-arango-backup-28970100-h42mf                            0/1     Completed   0                 18d
ilens-infra          pod/redis-db-5dd86fc8f6-9nd45                                     1/1     Running     8 (6d16h ago)     192d
kube-system          pod/node-alert-agent-zhmf4                                        1/1     Running     8 (6d16h ago)     192d
kubeflow             pod/ml-pipeline-persistenceagent-5dd67fb546-jtj9d                 1/1     Running     99 (6d16h ago)    192d
ilens-infra          pod/pgo-664b7b8cfd-jhnwz                                          1/1     Running     8 (6d16h ago)     192d
kube-system          pod/local-path-provisioner-864f6ff87b-9872d                       1/1     Running     8 (6d16h ago)     192d
kubeflow             pod/metadata-writer-b48f7c94-ssn89                                1/1     Running     8 (6d16h ago)     192d
nfs-system           pod/nfs-server-68859c9bf8-xqcz7                                   1/1     Running     8 (6d16h ago)     192d
kubeflow             pod/metadata-envoy-deployment-6b5fd76c7-xmrhn                     1/1     Running     8 (6d16h ago)     192d
ilens-core           pod/kafka-message-alert-797666b6d6-hxgtc                          1/1     Running     8 (6d16h ago)     192d
kubeflow             pod/minio-7d74f98b5-8bxs6                                         1/1     Running     8 (6d16h ago)     192d
kubeflow             pod/ml-pipeline-scheduledworkflow-86b76b6db9-cl448                1/1     Running     8 (6d16h ago)     192d
ilens-infra          pod/minio-845877cc5b-tdx5h                                        1/1     Running     6 (6d16h ago)     44d
container-registry   pod/infra-container-registry-56d944c986-cc679                     1/1     Running     8 (6d16h ago)     192d
kubeflow             pod/mysql-6f8b4f5fbd-72m7n                                        1/1     Running     8 (6d16h ago)     192d
kubeflow             pod/controller-manager-7bdcc4cb4c-txtzp                           1/1     Running     8 (6d16h ago)     192d
